R56, CT.QDD0520, CT.QFD0530, CT.QFH0610, CT.QFH0620, CT.QFH0640, CT.QDI0650, CT.QFF0660, CT.QFH0680, CT.QFF0690, CT.QDF0720, CT.QFJ0730, CT.QDJ0740, CT.QFG0750
-0.085, 15.565, 14.553, 15.224, 15.376, 11.392, 10.406, 54.289, 11.140, 31.147, 17.454, 40.963, 65.052, 21.803
-0.080, 17.298, 15.294, 14.894, 15.658, 10.915, 9.055, 54.851, 11.015, 31.707, 19.590, 41.641, 59.414, 19.059
-0.075, 15.340, 14.574, 15.544, 15.461, 11.232, 10.226, 54.307, 11.236, 31.035, 20.015, 40.981, 65.109, 22.340
-0.070, 15.667, 14.380, 15.559, 16.148, 11.263, 9.869, 52.997, 10.160, 33.003, 15.650, 40.794, 65.358, 21.654
-0.065, 16.587, 14.886, 15.346, 15.743, 10.728, 8.575, 53.974, 11.216, 31.422, 19.406, 40.962, 59.935, 20.046
-0.060, 15.578, 14.452, 15.797, 15.978, 11.307, 9.780, 52.684, 10.380, 32.798, 16.496, 41.293, 65.211, 21.321
-0.055, 15.701, 14.452, 15.846, 15.995, 11.286, 9.733, 52.576, 10.405, 32.869, 15.933, 41.291, 64.956, 21.065
-0.050, 15.614, 14.483, 15.981, 15.914, 11.265, 9.789, 52.585, 10.561, 32.672, 16.100, 41.203, 65.192, 21.312
-0.045, 15.424, 14.370, 16.090, 15.983, 11.320, 9.647, 52.145, 10.564, 32.714, 16.067, 41.323, 65.190, 21.126
-0.040, 15.654, 14.452, 16.175, 15.941, 11.186, 9.626, 52.387, 10.625, 32.729, 16.257, 41.237, 64.831, 21.154
-0.035, 15.432, 14.619, 16.372, 15.973, 11.271, 9.567, 51.910, 10.583, 32.814, 16.845, 41.568, 65.878, 21.374
-0.030, 15.603, 14.490, 16.360, 15.807, 11.215, 9.781, 52.216, 10.859, 32.519, 14.965, 40.991, 65.336, 21.323
-0.025, 15.792, 14.531, 16.477, 15.884, 11.045, 9.600, 52.348, 10.809, 32.684, 15.794, 40.994, 64.828, 21.319
-0.020, 15.449, 14.500, 16.692, 15.987, 11.119, 9.547, 51.798, 10.662, 32.938, 15.811, 41.036, 65.753, 21.667
-0.015, 15.543, 14.479, 16.570, 15.810, 11.209, 9.821, 52.127, 11.334, 31.932, 14.760, 40.759, 65.143, 21.209
-0.010, 15.446, 14.482, 16.755, 15.701, 11.242, 9.763, 51.571, 11.103, 32.450, 13.690, 40.875, 65.872, 21.345
-0.005, 15.409, 14.610, 16.796, 16.262, 11.238, 9.634, 51.546, 11.199, 32.221, 15.549, 40.967, 65.836, 21.216
0.000, 15.649, 14.432, 16.898, 15.500, 11.046, 9.686, 51.978, 11.501, 31.975, 13.776, 40.537, 64.936, 21.343
0.005, 15.615, 14.557, 17.119, 15.564, 10.968, 9.634, 51.968, 11.414, 32.153, 15.285, 40.705, 65.103, 21.614
0.010, 15.247, 14.618, 17.208, 16.000, 11.162, 9.478, 51.216, 11.383, 32.171, 16.363, 41.158, 65.868, 21.369
0.015, 15.264, 14.249, 17.213, 16.624, 11.030, 9.232, 51.071, 11.219, 32.471, 15.091, 40.407, 65.262, 21.276
0.020, 15.337, 14.528, 17.518, 15.711, 11.009, 9.406, 51.007, 11.199, 32.745, 14.961, 40.876, 65.919, 21.697
0.025, 15.673, 14.507, 17.449, 16.026, 10.871, 9.578, 51.553, 11.466, 32.366, 13.111, 39.887, 65.671, 21.820
0.030, 15.267, 14.577, 17.594, 15.858, 11.101, 9.474, 50.749, 11.534, 32.328, 14.414, 40.794, 66.145, 21.457
0.035, 15.979, 14.736, 17.658, 15.526, 10.685, 9.712, 52.191, 11.995, 31.657, 13.639, 39.720, 65.171, 22.046
0.040, 15.565, 14.414, 17.900, 15.807, 10.777, 9.030, 50.640, 11.223, 33.085, 13.838, 40.528, 65.428, 21.540
0.045, 15.989, 14.861, 17.803, 15.623, 10.863, 9.397, 51.240, 11.865, 32.117, 15.222, 41.042, 64.562, 20.728
0.050, 15.359, 14.575, 17.832, 16.770, 11.015, 9.481, 50.677, 11.819, 32.036, 13.638, 40.010, 66.133, 21.350
0.055, 15.466, 14.697, 17.840, 16.460, 11.057, 9.597, 50.809, 12.231, 31.448, 13.925, 40.254, 65.732, 20.995
0.060, 15.690, 14.559, 18.031, 16.814, 10.764, 9.321, 51.048, 12.012, 31.887, 13.695, 39.606, 65.277, 21.301
0.065, 15.622, 14.631, 18.022, 16.905, 10.951, 9.520, 50.500, 11.983, 32.075, 11.744, 39.634, 66.220, 21.136
0.070, 15.461, 14.631, 18.389, 15.547, 10.879, 9.380, 50.329, 12.029, 32.275, 13.133, 40.337, 65.895, 21.495
0.075, 15.376, 14.829, 18.063, 16.280, 11.168, 9.603, 50.337, 12.954, 30.505, 14.107, 40.626, 65.616, 20.359
0.080, 15.512, 14.664, 18.433, 17.218, 10.847, 9.221, 50.171, 12.048, 32.141, 13.683, 39.922, 65.884, 21.006
0.085, 15.800, 15.023, 18.726, 16.029, 10.711, 9.368, 50.710, 12.294, 31.947, 15.284, 40.390, 65.575, 21.388
